"uri","movie","year","star"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Natalie Portman"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Katharine Ross"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","François Cluzet"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","David Ogden Stiers"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Burt Lancaster"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Drew Barrymore"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Drew Barrymore"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Frank Sinatra"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Julia Roberts"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Anne Francis"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Natasha Lyonne"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Walter Pidgeon"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Alan Alda"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Jack Warden"
"http://dbpedia.org/resource/Eyeball_(film)","Eyeball (film)","1975 films","Martine Brochard"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Deborah Kerr"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Donna Reed"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Jena Malone"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Tim Roth"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","Timothy Hutton"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Marvin Miller"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","1953 films","Montgomery Clift"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Noah Wyle"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Jack Kelly (actor)"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Warren Stevens"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Edward Norton"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Gaby Hoffmann"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","Kevin Kline"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Patrick Swayze"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","Suzan Anbeh"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Lukas Haas"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Maggie Gyllenhaal"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Jake Gyllenhaal"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","2001 films","Mary McDonnell"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat (1995 film)","1995 films","Al Pacino"
