"uri","band_name","member_name","former_member_name","hometown_name","year"
"http://dbpedia.org/resource/Player_(band)","Player (band)","Ronn Moss","Tony Sciuto",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Ronn Moss","Craig Pilo",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Ronn Moss","Burleigh Drummond",,
"http://dbpedia.org/resource/The_Blossoms","The Blossoms","Gloria Jones","Darlene Love",,
"http://dbpedia.org/resource/Train_(band)","Train (band)","Patrick Monahan","Charlie Colin","San Francisco",1993
"http://dbpedia.org/resource/Train_(band)","Train (band)","Patrick Monahan","Johnny Colt","San Francisco",1993
"http://dbpedia.org/resource/The_Donnas","The Donnas","Allison Robertson","Torry Castellano","Palo Alto, California",1993
"http://dbpedia.org/resource/The_Donnas","The Donnas","Maya Ford","Torry Castellano","Palo Alto, California",1993
"http://dbpedia.org/resource/The_Donnas","The Donnas","Brett Anderson (The Donnas)","Torry Castellano","Palo Alto, California",1993
"http://dbpedia.org/resource/Thrashing_Doves","Thrashing Doves","Kevin Sargent (composer)","Gail Ann Dorsey",,
"http://dbpedia.org/resource/Thrashing_Doves","Thrashing Doves","Ian Button","Gail Ann Dorsey",,
"http://dbpedia.org/resource/Crowded_House","Crowded House","Matt Sherrod","Peter Jones (drummer)","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Matt Sherrod","Paul Hester","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Matt Sherrod","Tim Finn","Melbourne",1985
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Phil Small","Ray Arnott","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Phil Small","Steve Prestwich","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Phil Small","Swanee (singer)","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Don Walker (musician)","Ray Arnott","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Don Walker (musician)","Swanee (singer)","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Don Walker (musician)","Steve Prestwich","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Ian Moss","Ray Arnott","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Ian Moss","Steve Prestwich","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Ian Moss","Swanee (singer)","Adelaide",1973
"http://dbpedia.org/resource/Crowded_House","Crowded House","Neil Finn","Tim Finn","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Neil Finn","Paul Hester","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Neil Finn","Peter Jones (drummer)","Melbourne",1985
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Jimmy Barnes","Ray Arnott","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Jimmy Barnes","Steve Prestwich","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Jimmy Barnes","Swanee (singer)","Adelaide",1973
"http://dbpedia.org/resource/Crowded_House","Crowded House","Nick Seymour","Peter Jones (drummer)","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Nick Seymour","Paul Hester","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Nick Seymour","Tim Finn","Melbourne",1985
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Charley Drayton","Steve Prestwich","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Charley Drayton","Swanee (singer)","Adelaide",1973
"http://dbpedia.org/resource/Cold_Chisel","Cold Chisel","Charley Drayton","Ray Arnott","Adelaide",1973
"http://dbpedia.org/resource/Crowded_House","Crowded House","Mark Hart","Peter Jones (drummer)","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Mark Hart","Paul Hester","Melbourne",1985
"http://dbpedia.org/resource/Crowded_House","Crowded House","Mark Hart","Tim Finn","Melbourne",1985
