"uri","name"
"http://dbpedia.org/resource/Joseph_M._Pettit","Joseph M. Pettit"
"http://dbpedia.org/resource/Joyce_Carol_Thomas","Joyce Carol Thomas"
"http://dbpedia.org/resource/Lloyd_N._Trefethen","Lloyd N. Trefethen"
"http://dbpedia.org/resource/Michael_D._Cohen_(academic)","Michael D. Cohen (academic)"
"http://dbpedia.org/resource/Richard_Ofshe","Richard Ofshe"
"http://dbpedia.org/resource/Andrew_Moravcsik","Andrew Moravcsik"
"http://dbpedia.org/resource/Earl_B._Hunt","Earl B. Hunt"
"http://dbpedia.org/resource/Gene_D._Block","Gene D. Block"
"http://dbpedia.org/resource/Martín_Abadi","Martín Abadi"
"http://dbpedia.org/resource/Nils_John_Nilsson","Nils John Nilsson"
"http://dbpedia.org/resource/Shane_Greenstein","Shane Greenstein"
"http://dbpedia.org/resource/Surajit_Chaudhuri","Surajit Chaudhuri"
"http://dbpedia.org/resource/Tina_Smith","Tina Smith"
"http://dbpedia.org/resource/Brent_Barton","Brent Barton"
"http://dbpedia.org/resource/Brooksley_Born","Brooksley Born"
"http://dbpedia.org/resource/Dana_Fox","Dana Fox"
"http://dbpedia.org/resource/J._Michael_Harrison","J. Michael Harrison"
"http://dbpedia.org/resource/Lawrence_Bridges","Lawrence Bridges"
"http://dbpedia.org/resource/Robert_A._Baker","Robert A. Baker"
"http://dbpedia.org/resource/Samaun_Samadikun","Samaun Samadikun"
"http://dbpedia.org/resource/Vinod_Aggarwal","Vinod Aggarwal"
"http://dbpedia.org/resource/Douglas_Hofstadter","Douglas Hofstadter"
"http://dbpedia.org/resource/Fred_Savage","Fred Savage"
"http://dbpedia.org/resource/Herbert_Hoover","Herbert Hoover"
"http://dbpedia.org/resource/Ralph_Merkle","Ralph Merkle"
"http://dbpedia.org/resource/Charles_Francis_Richter","Charles Francis Richter"
"http://dbpedia.org/resource/Chih-Tang_Sah","Chih-Tang Sah"
"http://dbpedia.org/resource/David_Martin_(mayor)","David Martin (mayor)"
"http://dbpedia.org/resource/Doug_La_Follette","Doug La Follette"
"http://dbpedia.org/resource/Ken_Yeager","Ken Yeager"
"http://dbpedia.org/resource/Margery_Eagan","Margery Eagan"
"http://dbpedia.org/resource/Michael_Turner_(cosmologist)","Michael Turner (cosmologist)"
