"uri","name"
"http://dbpedia.org/resource/Barbara_G._Peters","Barbara G. Peters"
"http://dbpedia.org/resource/Gideon_Yu","Gideon Yu"
"http://dbpedia.org/resource/Ray_Arthur_Wang","Ray Arthur Wang"
"http://dbpedia.org/resource/Jonathan_Manzi","Jonathan Manzi"
"http://dbpedia.org/resource/David_W._Bates","David W. Bates"
"http://dbpedia.org/resource/Yulia_Marushevska","Yulia Marushevska"
"http://dbpedia.org/resource/Tess_Gerritsen","Tess Gerritsen"
"http://dbpedia.org/resource/Chris_Cox_(Facebook)","Chris Cox (Facebook)"
"http://dbpedia.org/resource/Kaity_Tong","Kaity Tong"
"http://dbpedia.org/resource/Ian_Bremmer","Ian Bremmer"
"http://dbpedia.org/resource/Linda_Moulton_Howe","Linda Moulton Howe"
"http://dbpedia.org/resource/Peter_Magowan","Peter Magowan"
"http://dbpedia.org/resource/Tony_Serra","Tony Serra"
"http://dbpedia.org/resource/Charles_B._DeWitt","Charles B. DeWitt"
"http://dbpedia.org/resource/Crystal_Lee","Crystal Lee"
"http://dbpedia.org/resource/Don_Basile","Don Basile"
"http://dbpedia.org/resource/Marcia_Falk","Marcia Falk"
"http://dbpedia.org/resource/Tamala_Edwards","Tamala Edwards"
"http://dbpedia.org/resource/Bessilyn_Johnson","Bessilyn Johnson"
"http://dbpedia.org/resource/Donald_J._Russell","Donald J. Russell"
"http://dbpedia.org/resource/David_Bohrman","David Bohrman"
"http://dbpedia.org/resource/Mike_Schroepfer","Mike Schroepfer"
"http://dbpedia.org/resource/Douglas_C._Steiner","Douglas C. Steiner"
"http://dbpedia.org/resource/Rudolph_G._Wilson","Rudolph G. Wilson"
"http://dbpedia.org/resource/Stephane_Kasriel","Stephane Kasriel"
