"uri","name","occupation","city"
"http://dbpedia.org/resource/Pete_Williams_(journalist)","Pete Williams (journalist)","Spokesperson","Casper, Wyoming"
"http://dbpedia.org/resource/Herbert_M._Allison","Herbert M. Allison","TIAA-CREF","Pittsburgh"
"http://dbpedia.org/resource/Herbert_M._Allison","Herbert M. Allison","Merrill Lynch","Pittsburgh"
"http://dbpedia.org/resource/Charles_Simonyi","Charles Simonyi","Software architect","Budapest"
"http://dbpedia.org/resource/Razmig_Hovaghimian","Razmig Hovaghimian","Rakuten","Cairo"
"http://dbpedia.org/resource/D._James_Baker","D. James Baker","Oceanographer","Long Beach, California"
"http://dbpedia.org/resource/David_M._Kelley","David M. Kelley","Businessman","Barberton, Ohio"
"http://dbpedia.org/resource/Reid_Hoffman","Reid Hoffman","LinkedIn","Palo Alto, California"
"http://dbpedia.org/resource/Aaron_Swartz","Aaron Swartz","Internet activist","Chicago"
"http://dbpedia.org/resource/David_M._Kelley","David M. Kelley","Designer","Barberton, Ohio"
"http://dbpedia.org/resource/John_S._Bull","John S. Bull","Naval aviator","Memphis, Tennessee"
"http://dbpedia.org/resource/Patrick_M._Byrne","Patrick M. Byrne","Overstock.com","Fort Wayne, Indiana"
"http://dbpedia.org/resource/Herbert_M._Allison","Herbert M. Allison","Assistant Secretary of the Treasury for Financial Stability","Pittsburgh"
"http://dbpedia.org/resource/Hong_Seok-hyun","Hong Seok-hyun","Business","Seoul"
"http://dbpedia.org/resource/Richard_Rodriguez","Richard Rodriguez","Journalist","San Francisco"
"http://dbpedia.org/resource/Jane_Kim","Jane Kim","Politician","New York City"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Dialogue: A Journal of Mormon Thought","Logan, Utah"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Author","Logan, Utah"
"http://dbpedia.org/resource/Victor_Jih","Victor Jih","Lawyer","San Francisco"
"http://dbpedia.org/resource/Hong_Seok-hyun","Hong Seok-hyun","Mass media","Seoul"
"http://dbpedia.org/resource/Tachi_Yamada","Tachi Yamada","Physician","Tokyo"
"http://dbpedia.org/resource/Jen-Hsun_Huang","Jen-Hsun Huang","President","Taipei"
"http://dbpedia.org/resource/Tachi_Yamada","Tachi Yamada","Pharmaceutical industry","Tokyo"
"http://dbpedia.org/resource/Jane_Kim","Jane Kim","Civil rights","New York City"
"http://dbpedia.org/resource/Marissa_Mayer","Marissa Mayer","Yahoo!","Wausau, Wisconsin"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Professor","Logan, Utah"
"http://dbpedia.org/resource/Jen-Hsun_Huang","Jen-Hsun Huang","Nvidia","Taipei"
"http://dbpedia.org/resource/Joel_Primack","Joel Primack","University of California, Santa Cruz","Santa Barbara, California"
"http://dbpedia.org/resource/Alison_Davis-Blake","Alison Davis-Blake","Provost (education)","Palo Alto, California"
"http://dbpedia.org/resource/Lee_Mendelson","Lee Mendelson","Television producer","San Francisco"
"http://dbpedia.org/resource/Gillian_Lester","Gillian Lester","Law Professor","Maple Ridge, British Columbia"
"http://dbpedia.org/resource/Morris_Chang","Morris Chang","TSMC","Ningbo"
"http://dbpedia.org/resource/Kurtwood_Smith","Kurtwood Smith","Actor","New Lisbon, Wisconsin"
"http://dbpedia.org/resource/Sabeer_Bhatia","Sabeer Bhatia","Entrepreneur","Chandigarh"
"http://dbpedia.org/resource/Jen-Hsun_Huang","Jen-Hsun Huang","Entrepreneur","Taipei"
"http://dbpedia.org/resource/Gary_Mekikian","Gary Mekikian","Chief Executive Officer","Yerevan"
"http://dbpedia.org/resource/Jen-Hsun_Huang","Jen-Hsun Huang","Chief Executive Officer","Taipei"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Essayist","Logan, Utah"
"http://dbpedia.org/resource/Tachi_Yamada","Tachi Yamada","Gastroenterologist","Tokyo"
"http://dbpedia.org/resource/Anand_Chandrasekaran","Anand Chandrasekaran","Snapdeal","Coimbatore"
"http://dbpedia.org/resource/Aaron_Swartz","Aaron Swartz","Internet activist","Highland Park, Illinois"
"http://dbpedia.org/resource/Gillian_Lester","Gillian Lester","Academic administration","Maple Ridge, British Columbia"
"http://dbpedia.org/resource/Helen_Quinn","Helen Quinn","Particle physicist","Melbourne"
"http://dbpedia.org/resource/Hong_Seok-hyun","Hong Seok-hyun","JoongAng Ilbo","Seoul"
"http://dbpedia.org/resource/Eugene_England","Eugene England","Poet","Logan, Utah"
"http://dbpedia.org/resource/Gillian_Lester","Gillian Lester","Scholar","Maple Ridge, British Columbia"
