[nlp] ... starting to process items ...
[nlp] ... items processed: 196000 elapsed: 0:04:03.062968
[nlp] ... items processed: 197000 elapsed: 0:04:03.647474
[nlp] ... items processed: 198000 elapsed: 0:04:04.594464
[nlp] ... items processed: 199000 elapsed: 0:04:05.593935
[nlp] ... items processed: 200000 elapsed: 0:04:06.618539
[nlp] ... items processed: 201000 elapsed: 0:04:07.949532
[nlp] ... items processed: 202000 elapsed: 0:04:08.794153
[nlp] ... items processed: 203000 elapsed: 0:04:09.348443
[nlp] ... items processed: 204000 elapsed: 0:04:10.287970
[nlp] ... items processed: 205000 elapsed: 0:04:11.019774
[nlp] ... items processed: 206000 elapsed: 0:04:11.814505
[nlp] ... items processed: 207000 elapsed: 0:04:13.074758
[nlp] ... items processed: 208000 elapsed: 0:04:14.070304
[nlp] ... items processed: 209000 elapsed: 0:04:14.700447
[nlp] ... items processed: 210000 elapsed: 0:04:15.354942
[nlp] ... items processed: 211000 elapsed: 0:04:15.920102
[nlp] ... items processed: 212000 elapsed: 0:04:16.637353
[nlp] ... items processed: 213000 elapsed: 0:04:17.075881
[nlp] ... items processed: 214000 elapsed: 0:04:18.001917
[nlp] ... items processed: 215000 elapsed: 0:04:18.727634
[nlp] ... items processed: 216000 elapsed: 0:04:19.565162
[nlp] ... items processed: 217000 elapsed: 0:04:20.714403
[nlp] ... items processed: 218000 elapsed: 0:04:21.862106
[nlp] ... items processed: 219000 elapsed: 0:04:22.964548
[nlp] ... items processed: 220000 elapsed: 0:04:23.780288
[nlp] ... items processed: 221000 elapsed: 0:04:25.089991
[nlp] ... items processed: 222000 elapsed: 0:04:26.255832
[nlp] ... items processed: 223000 elapsed: 0:04:27.064363
[nlp] ... items processed: 224000 elapsed: 0:04:27.814391
[nlp] ... items processed: 225000 elapsed: 0:04:29.031687
[nlp] ... items processed: 226000 elapsed: 0:04:30.093039
[nlp] ... items processed: 227000 elapsed: 0:04:30.804722
[nlp] ... items processed: 228000 elapsed: 0:04:32.121268
[nlp] ... items processed: 229000 elapsed: 0:04:32.952799
[nlp] ... items processed: 230000 elapsed: 0:04:34.356110
[nlp] ... items processed: 231000 elapsed: 0:04:35.276126
[nlp] ... items processed: 232000 elapsed: 0:04:36.063761
[nlp] ... items processed: 233000 elapsed: 0:04:37.175267
[nlp] ... items processed: 234000 elapsed: 0:04:37.932215
[nlp] ... items processed: 235000 elapsed: 0:04:39.312092
[nlp] ... items processed: 236000 elapsed: 0:04:40.367105
[nlp] ... items processed: 237000 elapsed: 0:04:41.134509
[nlp] ... items processed: 238000 elapsed: 0:04:41.961215
[nlp] ... items processed: 239000 elapsed: 0:04:42.704985
[nlp] ... items processed: 240000 elapsed: 0:04:43.510327
[nlp] ... items processed: 241000 elapsed: 0:04:44.941829
[nlp] ... items processed: 242000 elapsed: 0:04:46.268890
[nlp] ... items processed: 243000 elapsed: 0:04:47.401018
[nlp] ... items processed: 244000 elapsed: 0:04:48.262153
[nlp] ... items processed: 245000 elapsed: 0:04:49.103227
[nlp] ... items processed: 246000 elapsed: 0:04:50.278492
[nlp] ... items processed: 247000 elapsed: 0:04:51.011482
[nlp] ... items processed: 248000 elapsed: 0:04:51.718868
[nlp] ... items processed: 249000 elapsed: 0:04:52.954112
[nlp] ... items processed: 250000 elapsed: 0:04:53.996313
[nlp] ... items processed: 251000 elapsed: 0:04:54.808921
